,merchant_code,price,stock,daily_gmv,daily_sold,daily_view,rating,total_review,total_sold
0,1.0,4500000.0,1.0,0.0,0.0,0.0,95.0,37.0,74.0
1,2.0,4999000.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0
2,3.0,4589900.0,16.0,0.0,0.0,0.0,96.0,12.0,19.0
3,4.0,4698500.0,5.0,0.0,0.0,0.0,99.0,42.0,63.0
4,5.0,1000000.0,999999.0,0.0,0.0,3.0,100.0,18.0,82.0
5,6.0,1510000.0,80.0,0.0,0.0,50.0,94.0,47.0,169.0
6,7.0,720000.0,999999.0,0.0,0.0,1.0,98.0,24.0,24.0
7,8.0,4015000.0,999999.0,0.0,0.0,2.0,100.0,21.0,21.0
8,6.0,1510000.0,82.0,6040000.0,4.0,76.0,93.0,45.0,172.0
9,9.0,2100000.0,999952.0,0.0,0.0,17.0,96.0,37.0,87.0
10,10.0,2050000.0,999999.0,0.0,0.0,16.0,91.0,59.0,123.0
11,10.0,2050000.0,999999.0,0.0,0.0,3.0,91.0,59.0,123.0
12,9.0,2100000.0,999952.0,0.0,0.0,8.0,96.0,37.0,87.0
13,10.0,2050000.0,999999.0,0.0,0.0,4.0,91.0,59.0,123.0
14,11.0,2050000.0,9956.0,0.0,0.0,13.0,87.0,123.0,284.0
15,11.0,2050000.0,9950.0,2050000.0,1.0,46.0,88.0,124.0,284.0
16,12.0,2499000.0,999951.0,0.0,0.0,2.0,100.0,22.0,78.0
17,10.0,2050000.0,999999.0,0.0,0.0,7.0,91.0,59.0,123.0
18,11.0,2050000.0,9956.0,0.0,0.0,16.0,87.0,122.0,284.0
19,11.0,2050000.0,9956.0,0.0,0.0,9.0,87.0,123.0,284.0
20,13.0,2049900.0,84.0,20499000.0,10.0,37.0,98.0,391.0,625.0
21,5.0,1000000.0,999999.0,0.0,0.0,1.0,100.0,18.0,82.0
22,12.0,4100000.0,999959.0,0.0,0.0,1.0,98.0,29.0,45.0
23,14.0,3999000.0,9962.0,0.0,0.0,2.0,100.0,40.0,48.0
24,12.0,4100000.0,999959.0,0.0,0.0,1.0,98.0,29.0,45.0
25,15.0,3430000.0,5.0,0.0,0.0,24.0,96.0,228.0,271.0
26,16.0,3575000.0,840.0,0.0,0.0,14.0,94.0,119.0,261.0
27,11.0,3199000.0,999752.0,-108766000.0,-34.0,181.0,85.0,145.0,333.0
28,11.0,3150000.0,999749.0,0.0,0.0,199.0,84.0,154.0,345.0
29,16.0,3575000.0,840.0,0.0,0.0,14.0,94.0,119.0,261.0
30,17.0,4000000.0,9925.0,0.0,0.0,3.0,100.0,32.0,75.0
31,16.0,3575000.0,840.0,0.0,0.0,262.0,94.0,118.0,260.0
32,16.0,3575000.0,840.0,0.0,0.0,8.0,94.0,118.0,273.0
33,18.0,3990100.0,9993.0,0.0,0.0,1.0,100.0,23.0,26.0
34,15.0,3435000.0,5.0,0.0,0.0,14.0,96.0,228.0,271.0
35,12.0,4100000.0,999959.0,0.0,0.0,12.0,98.0,29.0,45.0
36,12.0,4100000.0,999959.0,0.0,0.0,2.0,98.0,29.0,45.0
37,15.0,3435000.0,5.0,0.0,0.0,15.0,96.0,227.0,271.0
38,19.0,3575000.0,9975.0,0.0,0.0,57.0,93.0,48.0,119.0
39,17.0,4000000.0,9925.0,0.0,0.0,3.0,100.0,32.0,75.0
40,16.0,3575000.0,840.0,-46475000.0,-13.0,116.0,94.0,118.0,260.0
